
Dirección
ADOLFO GUEMES ENTRE LEGUIZAMON Y AVDA ENTRE RIOS (9) SEXTUPLES
ALSINA CASI MITRE (V)
MITRE ESQUINA ALSINA (IV)
MITRE CASI ESQUINA ALSINA (III)
MITRE ESQUINA ALSINA (V)
MITRE HACIA ALSINA (II)
ALSINA CASI MITRE (VI)
AVDA ARENALES 2217
AVDA ARENALES 2217
AVDA PARAGUAY ESQUINA PJE BEDOYA (I)
AVDA PARAGUAY ESQUINA PJE BEDOYA (II)
AVDA PARAGUAY ESQUINA PJE BEDOYA (III)
AVENIDA ASUNCION 1318 (I)
AVENIDA ASUNCION 1318 (II)
AVENIDA ENTRE RIOS cerca de BALCARCE y 20 DE FEBRERO (II)
AVENIDA ENTRE RIOS ENTRE BALCARCE y 20 DE FEBRERO (III)
AVENIDA ENTRE RIOS ENTRE BALCARCE Y 20 DE FEBRERO, HACIA 20 DE FEBRERO (IV)
AVENIDA ENTRE RIOS HACIA 20 DE FEBRERO (V)
AVENIDA ENTRE RIOS HACIA CALLE BALCARCE (I)
AVENIDA J.B. JUSTO ENTRE LOS SAUCES Y LOS YUCHANES (II)
AVENIDA J.B. JUSTO ENTRE LOS YUCHANES Y LOS SAUCES (III)
AVENIDA J.B. JUSTO HACIA LOS SAUCES (I)
AVENIDA J.B. JUSTO INTERSECCION LOS YUCHANES (IV)
AVENIDA JUAN B JUSTO , ESQUINA REYES CATOLICOS (I)
AVENIDA JUAN B JUSTO CASI ESQUINA LAS TUSCAS (XIV)
AVENIDA JUAN B JUSTO CASI ESQUINA REYES CATOLICOS (II)
AVENIDA JUAN B JUSTO CASI ESQUINA REYES CATOLICOS (IV)
AVENIDA JUAN B JUSTO ENTRE CATOLICOS Y LAS TUSCAS (IX)
AVENIDA JUAN B JUSTO ENTRE CATOLICOS Y LAS TUSCAS (VII)
AVENIDA JUAN B JUSTO ENTRE CATOLICOS Y LAS TUSCAS (VIII)
AVENIDA JUAN B JUSTO ENTRE CATOLICOS Y LAS TUSCAS hacia LAS TUSCAS (XI)
AVENIDA JUAN B JUSTO ENTRE CATOLICOS Y LAS TUSCAS, HACIA CATOLICOS (VI)
AVENIDA JUAN B JUSTO ENTRE CATOLICOS Y LAS TUSCAS, HACIA LAS TUSCAS (X)
AVENIDA JUAN B JUSTO ESQUINA LAS TUSCAS (XV)
AVENIDA JUAN B JUSTO HACIA ESQUINA AVDA REYES CATOLICOS (V)
AVENIDA JUAN B JUSTO HACIA ESQUINA LAS TUSCAS (XIII)
AVENIDA JUAN B JUSTO HACIA LAS TUSCAS (XII)
AVENIDA JUAN B. JUSTO CASI ESQ. CATOLICOS (III)
CATAMARCA CASI RIOJA SUPERVALLA (4)
CATAMARCA CASI RIOJA SUPERVALLA (5)
CATAMARCA CASI RIOJA SUPERVALLA (6)
CATAMARCA PASANDO SAN LUIS HACIA RIOJA SUPERVALLA (1)
CATAMARCA PASANDO SAN LUIS HACIA RIOJA SUPERVALLA (2)
CATAMARCA PASANDO SAN LUIS HACIA RIOJA SUPERVALLA (3)
CATAMARCA ENTRE SAN LUIS Y RIOJA
LA RIOJA HACIA ESQUINA CATAMARCA PERPENDICULAR A SAN FELIPE Y SANTIAGO (VII)
RIOJA ESQUINA LERMA (XVI)
LERMA PASANDO RIOJA (XVII)
RIOJA Y LERMA OCHAVA NOROESTE
RIOJA PASANDO ESQUINA CATAMARCA (XV)
SAN LUIS ENTRE LERMA Y CATAMARCA (XIX)
SAN LUIS PASANDO CATAMARCA (II)
SAN LUIS PASANDO CATAMARCA (I)
SAN LUIS PASANDO CATAMARCA (VIII)
SAN LUIS PASANDO LERMA (XVIII)
SAN LUIS Y CATAMARCA I (OCHAVA SUROESTE)
SAN LUIS ESQUINA CATAMARCA (XX)
CATAMARCA Y SAN LUIS (OCHAVA) ESQUINA SUR-ESTE (III)
ESPAÑA ENTRE SARMIENTO Y ADOLFO GUEMES (III)
ESPAÑA HACIA ADOLFO GUEMES (II)
ESPAÑA HACIA ESQUINA ADOLFO GUEMES (I)
ESPAÑA HACIA ESQUINA SARMIENTO (V)
ESPAÑA PASANDO SARMIENTO (IV)
GURRUCHAGA PASANDO MITRE (II)
GURRUCHAGA PASANDO MITRE (III)
GURRUCHAGA Y MITRE OCHAVA SUROESTE (I)
ITUZAINGO PASANDO RIOJA , nivel cero (3)
ITUZAINGO PASANDO RIOJA , nivel cero (3)
ITUZAINGO PASANDO RIOJA (III)
ITUZAINGO PASANDO RIOJA (IV)
ITUZAINGO Y RIOJA (1) , nivel cero
LAS ACACIAS 10 , HACIA VICENTE LOPEZ (I)
LAS ACACIAS 10 ESQUINA VICENTE LOPEZ (II)
LAS ACACIAS CASI ESQUINA LOS GUAYACANES (II)
LAS ACACIAS CASI LOS GUAYACANES (I)
LAS ACACIAS Y LOS GUAYACANES (OCHAVA)
LAS ARAUCARIAS ESQUINA LOS GUAYACANES (II)
LAS ARAUCARIAS HACIA LOS GUAYACANES (I)
LAS ARAUCARIAS Y LOS GUAYACANES OCHAVA NOROESTE
LEGUIZAMON ENTRE SARMIENTO Y ADOLFO GUEMES (11) SEXTUPLES
LOS ARCES ENTRE LOS MOLLES Y LOS CANELOS (III)
LOS ARCES ESQUINA LOS CANELOS (IV)
LOS ARCES HACIA ESQUINA LOS CANELOS (I)
LOS ARCES HACIA LOS CANELOS (II)
LOS ARCES Y LOS MOLLES (OCHAVA NOROESTE)
LOS LAURELES HACIA VICENTE LOPEZ (S/LOS LAURELES)(I)
LOS LAURELES Y VICENTE LOPEZ (S/LOS LAURELES) II
MIGUEL ORTIZ ENTRE PUEYRREDON Y VICENTE LOPEZ (III)
MIGUEL ORTIZ HACIA ESQUINA PUEYRREDON (V)
MIGUEL ORTIZ HACIA ESQUINA VICENTE LOPEZ (I)
MIGUEL ORTIZ HACIA VICENTE LOPEZ (II)
MIGUEL ORTIZ PASANDO VICENTE LOPEZ
MIGUEL ORTIZ Y VICENTE LOPEZ (OCHAVA)
MITRE AL 912 (III)
MITRE AL 914 (IV)
MITRE AL 916 (V)
MITRE AL 950 (VI)
MITRE AL 952 (VII)
MITRE PASANDO S DE SEGURA
MITRE PASANDO S DE SEGURA (1)
MITRE PASANDO S DE SEGURA (2)
MITRE Y S DE SEGURA OCHAVA NIVEL 1
MITRE Y SEGURA OCHAVA NIVEL 0
MOSCONI CASI PELLEGRINI (1)
MOSCONI CASI PELLEGRINI (2)
O´HIGGINS CASI ESQUINA PEDERNERA (I)
O´HIGGINS ESQUINA PEDERNERA (II)
O´HIGGINS PASANDO PEDERNERA (III)
O´HIGGINS Y PEDERNERA (I) OCHAVA SUROESTE (IV)
O´HIGGINS PASANDO SARMIENTO (I)
O´HIGGINS PASANDO SARMIENTO (II)
O´HIGGINS PASANDO SARMIENTO (III)
PACHI GORRITI HACIA ESQUINA LOS LAURELES (I)
PACHI GORRITI PASANDO LOS LAURELES (FRENTE VIA) (II)
RIOJA casi esquina ITUZAINGO (I)
RIOJA E ITUZAINGO , OCHAVA nivel cero
RIOJA E ITUZAINGO (OCHAVA SURESTE) (II)
RIOJA INTERSECCION SAN FELIPE Y SANTIAGO (VIII)
S DE SEGURA PASANDO MITRE
SAN JUAN ESQUINA JUJUY (I)
SAN JUAN ESQUINA JUJUY, ALTA (II)
SAN JUAN HACIA ESQUINA JUJUY (III)
SAN JUAN HACIA ESQUINA JUJUY, PASANDO PELLEGRINI (VII)
SAN JUAN PASANDO PELLEGRINI ,HACIA ESQUINA JUJUY (IV)
SAN JUAN PASANDO PELLEGRINI ,HACIA ESQUINA JUJUY (V)
SAN JUAN PASANDO PELLEGRINI ,HACIA ESQUINA JUJUY, ALTA (VI)
SANTIAGO DEL ESTERO PASANDO CNEL SUAREZ (1)
SANTIAGO DEL ESTERO PASANDO CNEL SUAREZ (2)
SANTIAGO DEL ESTERO PASANDO CORONEL SUAREZ (3)
VICENTE LOPEZ 1344
VICENTE LOPEZ CASI ESQUINA LAS ACACIAS (III). VEREDA OESTE
VICENTE LOPEZ ESQUINA LAS ACACIAS (IV) VEREDA OESTE
VICENTE LOPEZ HACIA LAS ACACIAS VEREDA OESTE (II)
VICENTE LOPEZ INTERSECCION RIVADAVIA (V)
VICENTE LOPEZ PASANDO MIGUEL ORTIZ, DIRECCION AL CENTRO
VICENTE LOPEZ Y LOS LAURELES (OCHAVA SURESTE)





































































































































































































































































































































































































































































































































































































































































































































































































































































































